SENTENCES,EMOTION,SCORING
im feeling rather rotten so im not very ambitious right now,sadness,1.5
im updating blog feel shitty,sadness,1.5
never make separate dont ever want feel like im ashamed,sadness,1.5
left bouquet red yellow tulips arm feeling slightly more optimistic than when arrived,joy,5.0
feeling little vain when one,sadness,1.5
cant walk shop anywhere without feeling uncomfortable,fear,2.0
felt anger end telephone call,anger,1.0
explain why clung relationship boy many ways immature uncommitted despite excitement should feeling getting accepted masters program university virginia,joy,5.0
like same breathless feeling reader eager see will happen next,joy,5.0
jest feel grumpy tired premenstrual probably then again only week im fit walrus vacation summer,anger,1.0
dont feel particularly agitated,fear,2.0
feel beautifully emotional knowing women knew just handful holding baba journey,sadness,1.5
pay attention deepens feeling invaded helpless,fear,2.0
just feel extremely comfortable group people so much so dont even need hide,joy,5.0
find odd position feeling supportive,love,4.5
feeling heartbroken im sure katniss,sadness,1.5
feel little mellow today,joy,5.0
feel like only role now would tear sails pessimism discontent,sadness,1.5
feel like just fight got mad each other want make public let world know,anger,1.0
feel like reds purples just so rich kind perfect,joy,5.0
im not sure feeling loss will ever go away may dull sweet feeling nostalgia shared life dad luck dad so many years,sadness,1.5
feel like ive gotten know many comments emails im appreciative glad part little space,joy,5.0
survey own posts last few years only feel pleased vague snippets few only feel little bits capture like someone like dublin st century,joy,5.0
also tell hopes anyone still feeling stigmatized ashamed mental health issues will let go stigma let go shame,sadness,1.5
dont feel guilty like im not going able cook,sadness,1.5
hate when feel fearful absolutely no reason,fear,2.0
feeling outraged shows everywhere,anger,1.0
stole book one alltime favorite authors now feel like rotten person,sadness,1.5
feel insecure sometimes doesnt,fear,2.0
highly recommend visiting wednesday youre able less crowded so get ask farmers more questions without feeling rude holding line,joy,5.0
ive missing feeling so restless home thinking,sadness,1.5
posted facebook page earlier week ive feeling little grumpy sorts past few days,anger,1.0
start feel emotional,sadness,1.5
feel so cold,sadness,1.5
feel like im defective something not baby fever,sadness,1.5
feel more virtuous than when eat veggies dipped hummus,joy,5.0
feel very honoured included magazine prioritises health clean living so highly im curious any read magazines concerned health clean lifestyles such green parent,joy,5.0
spent last two weeks school feeling miserable,sadness,1.5
im feeling very peaceful wedding again now,joy,5.0
talking coach claudia barcomb coach ali boe long time both made feel very welcomed union,joy,5.0
feel completely hated things id exercise democratic right speak mind whatever ways possible try enact change,anger,1.0
feel humiliated embarrassed foolish will remember others felt same way same kinds things will kind helpful accepting,sadness,1.5
feel reassured dealing diet right way all good,joy,5.0
feel agree even though can imagine some rather unpleasant possible cases,sadness,1.5
im such happy mood today feel almost delighted havent done anything different today than normally wonderful,joy,5.0
im feeling really place irritated,anger,1.0
also know feel nothing more than friendly affection too,joy,5.0
feel like rather productive weekend cant always say no matter how much get done,joy,5.0
im feeling insecure moment,fear,2.0
feeling pretty anxious all day first day work very good day helped lot,fear,2.0
stood finally stood now feel like im punished could go back again,sadness,1.5
feel little nervous when go gym,fear,2.0
feel like could go any situation become successful ive competing all life explained schaub interview,joy,5.0
cant stop anxiety feel when im alone when ive got no distractions,fear,2.0
